date,yield_close,daily_change,tot_vol,maturity_month,maturity_year
2023-01-05,4.02,0.03,204.76,7,2032
2023-01-06,4.02,0.0,105.03,7,2032
2023-01-09,3.96,-0.06,509.8,7,2032
2023-01-10,3.94,-0.02,859.83,7,2032
2023-01-11,3.96,0.02,557.01,7,2032
2023-01-12,3.97,0.01,273.65,7,2032
2023-01-13,3.94,-0.03,572.71,7,2032
2023-01-16,3.96,0.02,71.02,7,2032
2023-01-17,3.97,0.01,14.26,7,2032
2023-01-18,3.93,-0.04,397.45,7,2032
2023-01-19,3.72,-0.21,1023.34,7,2032
2023-01-20,3.72,0.0,624.33,7,2032
2023-01-25,3.73,0.01,201.81,7,2032
2023-01-26,3.73,0.0,204.0,7,2032
2023-01-27,3.79,0.06,24.87,7,2032
2023-01-30,3.77,-0.02,32.25,7,2032
2023-01-31,3.8,0.03,54.98,7,2032
2023-02-02,3.76,-0.04,302.12,7,2032
2023-02-03,3.76,0.0,96.46,7,2032
2023-02-07,3.79,0.03,659.22,7,2032
2023-02-08,3.81,0.02,85.89,7,2032
2023-02-09,3.79,-0.02,169.15,7,2032
2023-02-10,3.78,-0.01,61.16,7,2032
2023-02-13,3.9,0.12,165.1,7,2032
2023-02-14,3.88,-0.02,44.02,7,2032
2023-02-15,3.9,0.02,50.1,7,2032
2023-02-16,3.92,0.02,20.93,7,2032
2023-02-17,3.92,0.0,43.36,7,2032
2023-02-20,3.88,-0.04,58.0,7,2032
2023-02-21,3.89,0.01,105.03,7,2032
2023-02-22,3.91,0.02,187.14,7,2032
2023-02-23,3.92,0.01,394.6,7,2032
2023-02-24,3.93,0.01,155.0,7,2032
2023-02-27,3.95,0.02,22.51,7,2032
2023-02-28,3.91,-0.04,345.63,7,2032
2023-03-01,3.92,0.01,92.86,7,2032
2023-03-02,4.01,0.09,183.04,7,2032
2023-03-03,4.05,0.04,772.59,7,2032
2023-03-06,4.05,0.0,256.05,7,2032
2023-03-07,4.02,-0.03,147.2,7,2032
2023-03-08,4.04,0.02,142.02,7,2032
2023-03-09,4.02,-0.02,187.65,7,2032
2023-03-10,3.94,-0.08,430.17,7,2032
2023-03-13,3.89,-0.05,473.42,7,2032
2023-03-14,3.85,-0.04,360.74,7,2032
2023-03-15,3.88,0.03,125.59,7,2032
2023-03-16,3.91,0.03,105.35,7,2032
2023-03-17,3.94,0.03,301.37,7,2032
2023-03-20,3.93,-0.01,183.89,7,2032
2023-03-21,3.95,0.02,291.14,7,2032
2023-03-22,3.93,-0.02,244.34,7,2032
2023-03-23,3.88,-0.05,715.3,7,2032
2023-03-24,3.87,-0.01,242.79,7,2032
2023-03-27,3.88,0.01,14.87,7,2032
2023-03-28,3.89,0.01,90.92,7,2032
2023-03-29,3.9,0.01,194.91,7,2032
2023-03-30,3.93,0.03,40.84,7,2032
